🚀 Starting Excel to PostgreSQL Migration...
✅ Connected to database washdata_db
📁 Found 365 Excel files
✅ project0/dataschema/April/washdata_01042023.xlsx: Migrated 23 records
✅ project0/dataschema/April/washdata_02042023.xlsx: Migrated 12 records
✅ project0/dataschema/April/washdata_03042023.xlsx: Migrated 10 records
✅ project0/dataschema/April/washdata_04042023.xlsx: Migrated 22 records
✅ project0/dataschema/April/washdata_05042023.xlsx: Migrated 16 records
✅ project0/dataschema/April/washdata_06042023.xlsx: Migrated 20 records
✅ project0/dataschema/April/washdata_07042023.xlsx: Migrated 11 records
✅ project0/dataschema/April/washdata_08042023.xlsx: Migrated 24 records
✅ project0/dataschema/April/washdata_09042023.xlsx: Migrated 9 records
✅ project0/dataschema/April/washdata_10042023.xlsx: Migrated 11 records
✅ project0/dataschema/April/washdata_11042023.xlsx: Migrated 15 records
✅ project0/dataschema/April/washdata_12042023.xlsx: Migrated 23 records
✅ project0/dataschema/April/washdata_13042023.xlsx: Migrated 17 records
✅ project0/dataschema/April/washdata_14042023.xlsx: Migrated 15 records
✅ project0/dataschema/April/washdata_15042023.xlsx: Migrated 23 records
✅ project0/dataschema/April/washdata_16042023.xlsx: Migrated 21 records
✅ project0/dataschema/April/washdata_17042023.xlsx: Migrated 16 records
✅ project0/dataschema/April/washdata_18042023.xlsx: Migrated 9 records
✅ project0/dataschema/April/washdata_19042023.xlsx: Migrated 24 records
✅ project0/dataschema/April/washdata_20042023.xlsx: Migrated 11 records
✅ project0/dataschema/April/washdata_21042023.xlsx: Migrated 20 records
✅ project0/dataschema/April/washdata_22042023.xlsx: Migrated 21 records
✅ project0/dataschema/April/washdata_23042023.xlsx: Migrated 15 records
✅ project0/dataschema/April/washdata_24042023.xlsx: Migrated 17 records
✅ project0/dataschema/April/washdata_25042023.xlsx: Migrated 23 records
✅ project0/dataschema/April/washdata_26042023.xlsx: Migrated 12 records
✅ project0/dataschema/April/washdata_27042023.xlsx: Migrated 8 records
✅ project0/dataschema/April/washdata_28042023.xlsx: Migrated 22 records
✅ project0/dataschema/April/washdata_29042023.xlsx: Migrated 11 records
✅ project0/dataschema/April/washdata_30042023.xlsx: Migrated 24 records
✅ project0/dataschema/August/washdata_01082023.xlsx: Migrated 19 records
✅ project0/dataschema/August/washdata_02082023.xlsx: Migrated 8 records
✅ project0/dataschema/August/washdata_03082023.xlsx: Migrated 20 records
✅ project0/dataschema/August/washdata_04082023.xlsx: Migrated 13 records
✅ project0/dataschema/August/washdata_05082023.xlsx: Migrated 14 records
✅ project0/dataschema/August/washdata_06082023.xlsx: Migrated 15 records
✅ project0/dataschema/August/washdata_07082023.xlsx: Migrated 17 records
✅ project0/dataschema/August/washdata_08082023.xlsx: Migrated 21 records
✅ project0/dataschema/August/washdata_09082023.xlsx: Migrated 8 records
✅ project0/dataschema/August/washdata_10082023.xlsx: Migrated 14 records
✅ project0/dataschema/August/washdata_11082023.xlsx: Migrated 21 records
✅ project0/dataschema/August/washdata_12082023.xlsx: Migrated 18 records
✅ project0/dataschema/August/washdata_13082023.xlsx: Migrated 13 records
✅ project0/dataschema/August/washdata_14082023.xlsx: Migrated 20 records
✅ project0/dataschema/August/washdata_15082023.xlsx: Migrated 9 records
✅ project0/dataschema/August/washdata_16082023.xlsx: Migrated 14 records
✅ project0/dataschema/August/washdata_17082023.xlsx: Migrated 14 records
✅ project0/dataschema/August/washdata_18082023.xlsx: Migrated 22 records
✅ project0/dataschema/August/washdata_19082023.xlsx: Migrated 14 records
✅ project0/dataschema/August/washdata_20082023.xlsx: Migrated 10 records
✅ project0/dataschema/August/washdata_21082023.xlsx: Migrated 15 records
✅ project0/dataschema/August/washdata_22082023.xlsx: Migrated 22 records
✅ project0/dataschema/August/washdata_23082023.xlsx: Migrated 23 records
✅ project0/dataschema/August/washdata_24082023.xlsx: Migrated 13 records
✅ project0/dataschema/August/washdata_25082023.xlsx: Migrated 16 records
✅ project0/dataschema/August/washdata_26082023.xlsx: Migrated 13 records
✅ project0/dataschema/August/washdata_27082023.xlsx: Migrated 13 records
✅ project0/dataschema/August/washdata_28082023.xlsx: Migrated 8 records
✅ project0/dataschema/August/washdata_29082023.xlsx: Migrated 13 records
✅ project0/dataschema/August/washdata_30082023.xlsx: Migrated 17 records
✅ project0/dataschema/August/washdata_31082023.xlsx: Migrated 21 records
✅ project0/dataschema/December/washdata_01122023.xlsx: Migrated 15 records
